Restaurant Name,Cuisine,Dining Rating,Delivery Rating,Reviews,Cost For Two,Locality,Address,Delivery Time,Type
Grill Craft Co.,"North Indian, Chinese, Continental",4.2,3.2,207,1200,College Road,"Ground floor, Janaki Apartment, Krishi Nagar, College Road, Nashik",NA,Dine-In
Veg Aroma,"North Indian, Chinese, Asian, Fast Food, Italian, Indo-Chinese, Kebab, Mughlai",4.1,4.1,80,1000,Mumbai Naka,"Shop 1 & 2, Roongta Supremus, Chandak Circle, Mumbai Naka, Nashik",NA,Dine-In
Origin Barbeque,"North Indian, Mughlai, Continental, Chinese, Biryani, BBQ, Desserts",4.1,4,147,1000,Anand Wali Goan,"Survey 51, Plot 1, KK Plaza, Serene Meadows, Gangapur Road, Anand Wali Goan, Nashik",NA,Dine-In
Sea Sons Cafe N Restro,"Pizza, Bakery, Burger, Fast Food, Desserts, Sandwich, Cafe, Coffee",4.3,NA,32,800,College Road,"Floor 1 & 2, KBT Circle, Gangapur Road, Saubhagya Nagar, Manik Nagar, College Road, Nashik",NA,Cafe
Lilly Cafe Shop,"Pizza, Burger, Sandwich, Fast Food, Street Food, Desserts, Coffee, Shake",3.6,2.5,11,700,College Road,"Shop 2, Ground Floor, Girikale Building, Thattewadi, College Road, Nashik",NA,Cafe
Tales & Spirits,"Italian, Continental, Mediterranean, Modern Indian, Chinese, Desserts, Beverages",4.2,4.1,210,1200,College Road,"Plot 33, S726/1C, Yeolekar Mala, Near Sunbird Aarya Heights, College Road, Nashik",NA,Dine-In
The White Mug,"Pizza, Bakery, Desserts, Beverages, Italian",New,NA,5,800,College Road,"Shop 4, 5 & 6, 8 Building, Housing Society, Ramrajya Coop, Mahatma Nagar Road, College Road, Nashik",NA,Cafe
The Cobble Street,"North Indian, Chinese, Italian",4,NA,144,1200,Satpur,"Sawargaon Gangapur Road, Satpur, Nashik",NA,Dine-In
Baracco Multicuisine,"North Indian, Chinese",4.2,NA,51,1000,Satpur,"Near Sula Wine Road, Gangapur-Savargaon Road, Satpur, Nashik",NA,Dine-In
Verandaah,"North Indian, Maharashtrian, Biryani, Chinese, Fast Food, Desserts, Beverages",New,New,5,900,Anand Wali Goan,"Survey 82/2, Chandshi, Near Ashoka Universal School, Anand Wali Goan, Nashik",NA,Dine-In
Tomato's,"North Indian, Mexican, Chinese, Asian, Mughlai, Healthy Food",4.3,4.3,1318,1800,College Road,"Survey 13 A-1, S K Open Mall, Ramdas Colony, Near Shraddha Petrol Pump, College Road, Nashik",NA,Dine-In
Larive Kitchen And Cocktail,"Beverages, North Indian, Pizza, Chinese, Sushi, Fast Food, Desserts",4.4,3.5,527,2100,College Road,"726/1/E2/1 Survey Shop 201, 202, 203, 2nd Floor, Viraj Vertex, Yeolekar Mala, College Road, Nashik",NA,Dine-In
Tamara,"North Indian, Oriental, Chinese, Continental, Maharashtrian, Italian, Seafood",4.3,4.1,519,2100,College Road,"Besides Westwide Meadows, Asaram Ashram Bridge Road, Goda Park, College Road, Nashik",NA,Dine-In
The Mykonos,"Cafe, Coffee, Continental, Italian, Oriental, Chinese, Beverages",4.4,4,60,1200,College Road,"726, Plot 37/38, Yeolekar Mala, College Road, Nashik",NA,Cafe
My Oh My,North Indian,4.4,NA,185,1500,Veer Sawarkar Nagar,"10, Near Shri Navshya Ganpati Mandir, Gangapur Road, Veer Sawarkar Nagar, Nashik",NA,Dine-In
Millionaires Above All,"North Indian, Chinese, Pizza, Momos, Italian, Continental, Pasta, Mexican",New,NA,72,1300,College Road,"5th and 6th Floor, Nisham Urbania Shopping Complex, Opposite Business Bank, Samartha Nagar, College Road, Nashik",NA,Dine-In
Charlie's Deck,"Chinese, Pizza, Burger, Sandwich, Fast Food, Beverages",4.3,NA,98,1000,Parijat Nagar,"Fifth Floor, Vihar Marina Apartment, Samartha Nagar, Near Six Sigma Hospital, Parijat Nagar, Nashik",NA,Dine-In
Skyline Rooftop Restaurant,"North Indian, Biryani, Seafood",3.6,NA,16,1000,College Road,"401, Plot 83, D Suza Colony, Opposite DCB Bank, Opposite HPT College, College Road, Nashik",NA,Rooftop Restaurant
Dolce Bistro & Patisserie By 21st Century,"Thai, Pizza, Desserts, Salad, Italian, Indo-Chinese, North Indian, Chinese",4.6,3.7,99,1000,Sharanpur,"39, Shop 1, Ground Floor, Sumangal Business Court, Near Shraddha Petrol Pump, Sharanpur, Nashik",NA,Cafe
Amber Multicuisine by Palm Springs,"North Indian, Oriental, Italian, Continental",4.7,NA,318,2500,Veer Sawarkar Nagar,"Satpur Colony, Shivaji Nagar, Opposite Vasantrao Kanetkar Udyan, Gangapur-Savargaon Road, Veer Sawarkar Nagar, Nashik",NA,Dine-In
House Of Flavours,"North Indian, Chinese, Mangalorean, Desserts, Beverages, Sichuan",4.6,4.2,653,1200,Mumbai Naka,"SSK Solitaire, Tidke Colony, Ahilyabai Holkar Marg, Mumbai Naka, Nashik",NA,Dine-In
Oliv - Taste The Calm,"Fast Food, Pizza, Burger, Beverages, Desserts, Cafe",3.7,NA,11,700,College Road,"House 424/114/A, Kamatwade, Trimurti Chowk, College Road, Nashik",NA,Cafe
Cafe Nirvana,"Cafe, Coffee, Fast Food, Pasta, Pizza, Burger, Sandwich, Desserts",4.3,4.1,7,500,Veer Sawarkar Nagar,"Survey 41/1, Plot 8, Kuber Nagar, Makhmalabad, Near Asaram Babu Bridge, Veer Sawarkar Nagar, Nashik",NA,Cafe
Barbeque Nation,"North Indian, BBQ, Kebab, Biryani",4.5,3.4,1369,2000,Parijat Nagar,"MFS 1, 2, 3, 4, 2nd Floor, City Center Mall, Untwadi Road, Parijat Nagar, Nashik",NA,Dine-In
Turmeric,"Chinese, North Indian, Mughlai, Beverages, Desserts",4.5,NA,48,1500,Satpur,"P-20, Satpur MIDC, Trimbak Road, Dwarka, Nashik, Satpur, Nashik",NA,Dine-In
Two Sisters Kitchen and Cafe,"Fast Food, Pizza, Biryani, Bakery, Burger, Street Food, Sandwich, Desserts",4.5,4.3,136,900,Anand Wali Goan,"64/1/2, Plot 1, Anandvalli Gangapur Road, Anand Wali Goan, Nashik",NA,Cafe
Palm Shells,"Continental, North Indian, Chinese, Sichuan",3.6,4.2,58,950,College Road,"Gangapur Makhmalabad Link Road, College Road, Nashik",NA,Dine-In
Flying Monk,"North Indian, Chinese, Biryani, Kebab",4.1,1,67,700,College Road,"3rd Floor, Archit Arcade, Ramdas Colony, College Road, Nashik",NA,Dine-In
Aere - Coffee House & Eatery,"Pizza, Sandwich, Burger, Cafe",New,NA,6,900,Mumbai Naka,"Bapu Pool, Riverfront Cruiseway, Off Gangapur Road, Opposite Tamara, Chandshi, Mumbai Naka, Nashik",NA,Cafe
Krave,"North Indian, Biryani, Pizza, Chinese, Maharashtrian, Continental, Lebanese, Italian",4.3,4,66,1500,Satpur,"Hissa 05, Gate 145/B, Gangapur Shivar, Satpur, Nashik",NA,Dine-In
Curry Leaves,"North Indian, Chinese, Fast Food, Maharashtrian",3.8,4,55,600,College Road,"Plot 1, Survey 731/2/1, Suniket Business Centre, Cycle Circle, Krishi Nagar, College Road, Nashik",NA,Dine-In
Redchilly's Amar's Pure Veg Restaurant,"Maharashtrian, North Indian, South Indian, Fast Food, Street Food, Biryani, Desserts, Beverages",3.9,3.5,31,450,Veer Sawarkar Nagar,"S 38/1, Plot 1, Ground Floor, B-2B, Blawant Nagar, Opposite Vrindavan Lawns, Gangapur Road, Veer Sawarkar Nagar, Nashik",NA,Dine-In
Chinese Wok,Chinese,1,3.9,NA,500,Parijat Nagar,"FNB-03B, Survey 747/1/2 To 749, Plot 117 To 133, 3rd Floor, City Centre Mall, Parijat Nagar, Nashik",NA,Fast Food
